,IL,R1,dEC50,EC50_WT,EC50_Mut,Amp
142,2.1562881982827763e-12,1.5810217332074223,1.028117101004982,1.1182704332575847e-11,1.0481652115284003e-12,0.0009110405934728288
143,2.1562881982827763e-12,1.8032439554296444,0.9974286100135021,1.1220266985438174e-11,1.1286897498508778e-12,0.00139559829988758
144,2.1562881982827763e-12,2.0254661776518668,0.996983074346053,1.127742924624512e-11,1.1356043218985156e-12,0.0021379735470798125
145,2.1562881982827763e-12,2.247688399874089,0.9339314432676655,1.1364043808947218e-11,1.323126769012653e-12,0.0032754667274675236
146,2.1562881982827763e-12,2.469910622096311,0.9380022075245105,1.1494722734701186e-11,1.3258557992496959e-12,0.005018646610102527
147,2.1562881982827763e-12,2.6921328443185333,0.8219162066198908,1.1690209300646943e-11,1.7615950455619358e-12,0.007690621155803294
148,2.1562881982827763e-12,2.9143550665407556,0.8304542020756731,1.1979008277209009e-11,1.7699730874008653e-12,0.01178750317684115
149,2.1562881982827763e-12,3.136577288762978,0.5943365033175283,1.2397448663549035e-11,3.154974222957189e-12,0.018071550012880445
150,2.1562881982827763e-12,3.336577288762978,0.4884494618547688,1.2918323809482258e-11,4.195238972308722e-12,0.0265539033372127
151,2.1562881982827763e-12,3.536577288762978,0.4490450974160538,1.592159047316458e-11,5.6616282760695835e-12,0.0390281047611133
152,2.1562881982827763e-12,3.736577288762978,0.4899785047894145,1.7816503332716755e-11,5.765592825501654e-12,0.05737485427091241
153,2.1562881982827763e-12,3.9365772887629777,0.20190189033909434,2.058234767986186e-11,1.2929836099956783e-11,0.08435310472762765
154,2.1562881982827763e-12,4.136577288762978,0.12084864905927795,2.5454127533556108e-11,1.9271235856579307e-11,0.12399926651955165
155,2.1562881982827763e-12,4.336577288762978,0.13533313321049256,3.397269703467621e-11,2.4876936232444064e-11,0.18220868615879246
156,2.1562881982827763e-12,4.536577288762978,0.043610931217411775,4.447043496394935e-11,4.022170218994556e-11,0.2675923429323101
157,2.1562881982827763e-12,4.7365772887629785,0.09825278435918428,6.465179215616823e-11,5.15617660144738e-11,0.3927313879278121
158,2.1562881982827763e-12,4.936577288762978,0.007766707313940913,7.287412707218389e-11,7.158246642816895e-11,0.5759779813952041
159,2.1562881982827763e-12,5.136577288762978,0.023819374627787937,1.3260530576251408e-10,1.2552826512094717e-10,0.8440080938144198
